Metric,Mean_5m,Mean_10m,Mean_30m,Mean_60m,MAE_10m,MAE_30m,MAE_60m,MAPE_10m,MAPE_30m,MAPE_60m,RMSE_10m,RMSE_30m,RMSE_60m,KS_10m,KS_pvalue_10m,KS_30m,KS_pvalue_30m,KS_60m,KS_pvalue_60m
m3_wi,0.4115088325577393,0.4158069979069437,0.43246053158124265,0.4565722182905718,0.004607450812589532,0.021590233621954343,0.046193131922655686,0.01522118140808459,0.08138045226659081,0.19440923665050558,0.012479319771732987,0.045910878126534715,0.08832207998550454,0.009511277264055651,1.062903722851216e-14,0.04485854211802792,4.90859e-318,0.09248375099448591,0.0
m4_wi,0.3843849490173466,0.38879482969689616,0.40583511632141583,0.43005847786408224,0.004745326080883363,0.022221770331257107,0.047314306109417614,0.016702597701246127,0.09039425473202528,0.21663867085990274,0.012407001945883287,0.046343156471359774,0.08892281468381034,0.010001293864056182,3.29523378191772e-16,0.04738845928319935,0.0,0.09653877600460287,0.0
m5_wi,0.5378621665503645,0.5418595682340496,0.5578327437240002,0.5821881945692705,0.004251103178801396,0.0204055755988029,0.04532630776551932,0.010719951659012416,0.058923934894486586,0.15028063428383384,0.012070745241141413,0.04516979971303276,0.0883280833131659,0.008591807913492788,4.495489341246724e-12,0.0415468007146535,7.45290028810617e-273,0.08965652038661764,0.0
frac_q1_wi_,22.24896779930596,20.734306117225955,16.93825322846746,13.6612603337075,1.5237638780684535,5.315562431693613,8.59133138611381,,,,3.321569435400957,7.884551953577453,11.334982463996084,0.17917539566087554,0.0,0.43844923510611056,0.0,0.5649093056354662,0.0
frac_q2_wi_,24.513967675420133,24.082613770566557,22.724343639281194,20.90054204645247,2.537965550181278,6.811183665379224,10.29801680922112,,,,5.107775396667156,10.20507928255851,13.882379359423723,0.09099167797650676,0.0,0.23177509889801326,0.0,0.3066457813149513,0.0
frac_q3_wi_,25.1169669624201,25.10178580768753,24.884856835318352,24.476488563066827,2.8741417139018806,8.087379044357514,12.82210883323744,,,,6.148571294321757,12.515051324317403,17.262945791616463,0.08213834434953049,0.0,0.20424607642607218,0.0,0.27548568077896124,0.0
frac_q4_wi_,28.119992126692107,30.081250533371637,35.45261099013808,40.9618951529682,1.9748158996622185,7.343520356335665,12.849482316732413,0.06630606219997667,0.25554526602922256,0.45586513669091167,5.176120080424375,12.852556573534084,19.60292871748961,0.173311713874352,0.0,0.4242112246836227,0.0,0.5500986915455619,0.0
frac_time_in_high_intensity_zone,28.44062914728529,30.272445004707063,33.71104481230608,36.384856261488736,3.147829451957398,7.076446949744358,10.389330713621762,0.14558091002473136,0.3759485286844775,0.5542196051315272,5.012827314093924,9.75272977257706,13.523872429989616,0.06168152775063113,0.0,0.17988289153840434,0.0,0.25351752084635226,0.0
frac_time_in_low_intensity_zone,71.55427540482093,69.7099944803621,66.24074764396129,63.54499006463987,3.1498599536351155,7.1079575085265745,10.438989523432882,0.0458605644181009,0.09976087439602434,0.14572905269411485,5.01521435755369,9.822134295201547,13.611575557655502,0.061835690276473954,0.0,0.18081061959570877,0.0,0.2547453152486009,0.0
frac_rain_in_high_intensity_zone,86.90255287199925,86.43732227180358,85.02114218229435,83.45249994523961,1.9972190139484254,5.590402090346113,8.76150676779373,0.024825270542699816,0.06835380332055675,0.10692407584515026,4.299995149686138,8.702265480663801,12.249830495368835,0.07826225798548114,0.0,0.19782630838561555,0.0,0.23845914555420056,0.0
mean_intensity_high_intensity_zone,0.20994539667258436,0.3801033149635202,0.9433432486408487,1.600490470620572,0.17018129873190455,0.7334044325516335,1.3905450739479663,0.8273152265176181,3.6896186847366965,7.211447224274314,0.3408180873245686,1.289066630110249,2.355987527653857,0.337147938213862,0.0,0.713709177900802,0.0,0.8391396629897069,0.0
3rd_w_peak,1.4442083066072406,1.4365029332173445,1.4008693665296639,1.3391823329745385,0.016911078504513382,0.06938139533603302,0.14245443258555332,,,,0.13514994047402643,0.2714736562903174,0.3903535478056282,0.005263549096635127,8.487850335426216e-05,0.02474308539778061,4.988671137842795e-97,0.05630235675961382,0.0
4th_w_peak,1.8987702785661784,1.8876072599538063,1.8320123990717214,1.7327372382334076,0.0314243791517207,0.12270786476643,0.23918315884521257,,,,0.21549642226245277,0.4128343228509313,0.5653131133029458,0.005860928884276248,7.589662954410801e-06,0.0287155233404817,1.5291583794161225e-130,0.06678265561468179,0.0
5th_w_peak,2.358196628795908,2.3422600776869014,2.259127935626134,2.104216620372027,0.04948341789331403,0.18825171436987445,0.36301696063074496,,,,0.309495127087841,0.5777379499094235,0.7914496979747351,0.006565671859557939,3.1507815421339504e-07,0.03257509229104784,7.065604088754811e-168,0.08053340233941633,0.0
3rd_com,1.0316198352112715,0.9969250081898842,0.8648737931964774,0.6919474856367325,0.03476089667531996,0.1668836871271538,0.3398320179048762,0.033963931474757264,0.16293189595130667,0.3311383526082372,0.18644274369178318,0.40851399869178756,0.5829511282302112,0.03313393144722823,1.1303270952338796e-173,0.15891128221927966,0.0,0.3223648531464296,0.0
3rd_ARR,1.8730994651110933,1.858528353516695,1.8015157479773052,1.71890115153901,0.015903516282040342,0.07349973709783539,0.15706133190916524,0.007013018474726979,0.03188319619291972,0.06752180986805341,0.12762806351522973,0.27206117459186985,0.40389879210821544,0.008101791313492257,8.778952287327876e-11,0.040803517107911025,3.436742360773093e-263,0.08870401620908847,0.0
T25,26.408588084754232,25.910182926982618,24.22572326281174,22.66458991515564,0.6093854411540022,2.8009319411555125,5.779591217013621,,,,1.1273533547965802,4.064504118251511,8.14256001303361,0.01324696561349803,4.096229527536268e-28,0.0608171164450122,0.0,0.0942951606731397,0.0
T50,46.24593435631281,45.7133366347006,43.74342360259775,41.199140785447604,0.6160575049009632,2.822759291302269,6.038295444022748,,,,1.380766422092941,4.1674829348077,8.526111539062256,0.00872945302585254,1.8906000729615815e-12,0.04230109593038461,7.704039628018171e-283,0.08975562486751665,0.0
T75,67.0381059157694,66.51736275788119,64.54935426415943,61.9179190944963,0.5956476411148751,2.691491787596188,5.660350868908742,,,,1.1836413864052755,3.98031232701939,8.084109371948188,0.010791376809000885,8.43125610245454e-19,0.05024597181578683,0.0,0.10345681935180168,0.0
D50,46.24593435631281,45.7133366347006,43.74342360259775,41.199140785447604,0.6160575049009632,2.822759291302269,6.038295444022748,,,,1.380766422092941,4.1674829348077,8.526111539062256,0.00872945302585254,1.8906000729615815e-12,0.04230109593038461,7.704039628018171e-283,0.08975562486751665,0.0
BSC,,,,,3.6236011815456446,14.109444381739449,23.62927491307711,,,,57.907345700509346,114.51503294591242,148.04559111136118,0.004803814421353719,0.0004561352442455342,0.021646070369687243,2.339437028446504e-74,0.03816073095060468,3.0313285409601686e-230
BSC_Index,-0.24925052236320142,-0.24224163324184522,-0.2203478016699105,-0.20075264347438287,0.017530481510132055,0.06834079828659365,0.11226610654282278,,,,0.20053527377249988,0.3950642895842014,0.5069651927896912,0.0028712770438234503,0.0998958436332047,0.012112769887654057,1.4145555372036942e-23,0.020421028869685866,3.1693184678244297e-66
